Molecule ChEMBL ID,smiles,label,InChIKey,InChIKey_14
CHEMBL3449910,Cc1ccc2cc(CNCCCN3CCOCC3)c(=O)[nH]c2c1C,0,OUXIYNIACYHAQE-UHFFFAOYSA-N,OUXIYNIACYHAQE
CHEMBL3437985,Cc1ccc(C)c(-n2ncc(C(=O)NCC3COC(C)(C)O3)c2N)c1,0,PPGRHQYRZPWTBN-UHFFFAOYSA-N,PPGRHQYRZPWTBN
166633222,CNC(=O)C1=C(OC2=C1C(=C(C=C2)O)CN3CCC3)C4=CC=C(C=C4)O,1,SWIQZPLHNDMRJW-UHFFFAOYSA-N,SWIQZPLHNDMRJW
CHEMBL5074163,Oc1ccc(-c2cc3c(CN4CCC5(COC5)C4)c(O)ccc3o2)cc1,1,QVXCPPOPYYJCBN-UHFFFAOYSA-N,QVXCPPOPYYJCBN
72135528,CCOCC1CCCN(C1)C(=O)NCC2=CC=C(C=C2)C3=CC=NN3,0,JGPKYAAXCKOJMB-UHFFFAOYSA-N,JGPKYAAXCKOJMB
CHEMBL1486085,CCC1(CC)Cc2ccccc2-c2nc(NCCCO)[nH]c(=O)c21,1,BUZHKGXZGKMOHM-UHFFFAOYSA-N,BUZHKGXZGKMOHM
CHEMBL3478332,COc1cccc(N2CCN(C(=O)C(O)c3ccccc3Cl)CC2=O)c1,0,MXDTVQXITVJRJS-UHFFFAOYSA-N,MXDTVQXITVJRJS
CHEMBL3436864,COc1ccc2nc(C[C@@H]3C[C@@H](C(C)C)[C@H](CN)C=C3C)[nH]c2n1,0,YORQCXBULZYMJS-KKUMJFAQSA-N,YORQCXBULZYMJS
CHEMBL3458858,O=C(c1ccccc1)C1CCN(c2cncc(-n3cccn3)n2)CC1,1,PLPCFAVMTBEXIQ-UHFFFAOYSA-N,PLPCFAVMTBEXIQ
CHEMBL5401220,COc1ccc(-c2noc(C(=O)NCCN3CCOCC3)n2)cc1OC,1,FZOJYNMVMKRVRR-UHFFFAOYSA-N,FZOJYNMVMKRVRR
CHEMBL3496661,CC(NC(=O)CN(C)S(C)(=O)=O)c1nnc2n1CCCCC2,0,YTVSRHLXTCQRDS-UHFFFAOYSA-N,YTVSRHLXTCQRDS
45874106,CCOC(=O)N1CCN(CC1)C(=O)C2CC(=O)N(C2)C3=CC=CC=C3Br,1,CJKJTFOGPFWJNZ-UHFFFAOYSA-N,CJKJTFOGPFWJNZ
172461895,COC1=C(C=C(C=C1)C2=NOC(=N2)C(=O)NCCC3=CN=C(C=C3)C(=O)N4CCC4)OC,1,RXGAIMQDSNVYKD-UHFFFAOYSA-N,RXGAIMQDSNVYKD
172460143,COC1=C(C=C(C=C1)C2=NOC(=N2)CNCCC3=CC=CC=C3)OC,1,OZOPTPDWWOWSCZ-UHFFFAOYSA-N,OZOPTPDWWOWSCZ
CHEMBL3463429,N#Cc1c(N2CCCN(C3CCOCC3)CC2)nc2ccccn12,0,NOUDVOZVOBFDLN-UHFFFAOYSA-N,NOUDVOZVOBFDLN
166634503,CC1=C(C=CC(=C1)O)C2=C(C3=C(O2)C=CC(=C3CN4CCC5(C4)COC5)O)C(=O)NC,1,UHKCWMQSSBPCPJ-UHFFFAOYSA-N,UHKCWMQSSBPCPJ
CHEMBL3472055,COc1ccc2[nH]cc(-c3ccnc(N4CCC(C)CC4)n3)c2c1,1,DRGDZJHLSXNYCX-UHFFFAOYSA-N,DRGDZJHLSXNYCX
CHEMBL5069637,CNC(=O)c1c(-c2ccc(O)c(F)c2)oc2ccc(O)c(CN3CCC4(COC4)C3)c12,1,CLGYBKWKICSQGN-UHFFFAOYSA-N,CLGYBKWKICSQGN
172443454,COC1CN(C1)C(=O)C2=CC=C(C=C2)CCNC(=O)C3=NC(=NO3)C4=CC(=C(C=C4)OC)OCC5(CC5)O,1,KLYBBWWWOXXRGS-UHFFFAOYSA-N,KLYBBWWWOXXRGS
CHEMBL3457510,O=C(c1ccc(-n2ccnc2)cc1)N1CCN(c2cnccn2)CC1,0,VDCCENAKZAYFMO-UHFFFAOYSA-N,VDCCENAKZAYFMO
