Molecule ChEMBL ID,Smiles,label
CHEMBL3486800,CC(C)c1cc(N2CCC(N)CC2)n2nccc2n1,0
CHEMBL5094563,CC(=O)c1c(-c2cc(C)c(O)cn2)oc2ccc(O)c(CN3CCC3)c12,1
CHEMBL3448416,Nc1nccnc1CC1CCCN(Cc2ccnc3ccccc23)C1,0
CHEMBL5079632,CNC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCC4(COC4)C3)c12,1
CHEMBL3445106,Cn1cc(I)c(C(=O)NCCCn2cc(Br)cn2)n1,1
CHEMBL5412505,COc1ccc(CCN(C)C(=O)c2nc(-c3ccc(OC)c(OC)c3)no2)cc1OC,1
136052548,CC1=C(C=CC=C1OC)C(=O)N2CCC3=C(C2)N=C(NC3=O)N,0
CHEMBL3458639,CCCNC(=O)CCNc1cncc(-n2nc(C)cc2C)n1,1
84600658,CC1=NC(=CC=C1)OC2CCN(CC2)C3=NC=CN=C3C#N,1
CHEMBL3442632,CNC(=O)c1cc2c(nc1NCC1CC1)CCNCC2,1
172454127,C[C@@H](CNC(=O)C1=NC(=NO1)C2=CC(=C(C=C2)OC)OC)C3=CC=CC=C3,1
51137207,C1CN(C[C@H]1C2=NN=C(O2)C3=CC=CC=C3)CCCC4=CC=CC=C4,0
CHEMBL3485493,CCCOC(C)Cn1ccc2[nH]c(=O)c(C#N)cc2c1=O,1
39843439,C1=CC(=CC(=C1)OCC(F)(F)F)NS(=O)(=O)C2=CC(=CS2)C(=O)O,1
CHEMBL3490958,O=C(c1cnc2c(cnn2C2CCCC2)c1)N1CCN(CCO)CC1,0
53335693,CCC1=CC=C(C=C1)C(CN2CCN(CC2)C3=CC(=CC=C3)OC)O,1
CHEMBL3468881,COc1ccc(C2CCCN2C(=O)c2cc3c([nH]c2=O)CCC3)cc1,1
CHEMBL3468612,O=C(COCc1ccccc1Cl)N1CCN(c2ccc(Br)cn2)CC1,1
CHEMBL3496530,CC(O)CN1CCC(CNCc2cccc(C(N)=O)c2)CC1,0
51117362,CC1=C(SC(=C1)S(=O)(=O)NC2=CC(=CC=C2)N3C=CC=C3)C(=O)O,1
CHEMBL5399451,COc1ccc(CCC(=O)Nc2cc(-c3ccc(OC)c(OC)c3)on2)cc1OC,1
56722694,CCCOC(C)CN1C=CC2=C(C1=O)C=C(C(=O)N2)C#N,1
CHEMBL3437512,COc1ccc(-c2cc(C[C@@H]3C[C@H](N(C)C)C3(C)C)no2)cc1,0
172448457,CN(CCC1=CC(=C(C=C1)OC)OC)C(=O)C2=NC(=NO2)C3=CC(=C(C=C3)OC)OC,1
CHEMBL5069909,CNC(=O)c1c(-c2ccc(CO)cc2)oc2ccc(O)c(CN3CCC4(COC4)C3)c12,1
CHEMBL3477040,CCC[C@H]1CN(S(C)(=O)=O)C[C@@H]1NC(=O)c1ccc(COC)cc1,0
CHEMBL3466744,Cc1nc(-c2ccc(Cl)s2)sc1C(=O)N(C)CC(N)=O,1
CHEMBL3445494,O=C1CNc2ncnc(N3CCN(Cc4ccccc4F)CC3)c2N1,0
172457183,COC1=C(C=C(C=C1)C2=NOC(=N2)C(=O)NCCC3=CC=C(C=C3)C(=O)N4CC(C4)F)OC,1
172469871,COC1=C(C=C(C=C1)C2=NOC(=N2)C(=O)NCCC3=CC=C(C=C3)C(=O)N4CCC4)F,1
72135528,CCOCC1CCCN(C1)C(=O)NCC2=CC=C(C=C2)C3=CC=NN3,0
166633816,CNC(=O)C1=C(OC2=C1C(=C(C=C2)O)CN3CCC4(C3)COC4)C5=NC=C(C=C5)O,1
75460884,CN1C=CC(=CC1=O)C(=O)NCC2=CC(=CC=C2)CN3CCCC3,0
